2020-09-22 13:44:36 INFO  Waitings:40 - TOTAL TIME that the NEXT DYNAMICALLY LOADED ROW in 'RESULTS LIST' Table web-element was loading: 0.022 seconds.
2020-09-22 13:44:36 INFO  Waitings:40 - TOTAL TIME that the NEXT DYNAMICALLY LOADED ROW in 'RESULTS LIST' Table web-element was loading: 0.026 seconds.
2020-09-22 13:44:36 INFO  Waitings:40 - TOTAL TIME that the NEXT DYNAMICALLY LOADED ROW in 'RESULTS LIST' Table web-element was loading: 0.036 seconds.
2020-09-22 13:44:36 INFO  Waitings:40 - TOTAL TIME that the NEXT DYNAMICALLY LOADED ROW in 'RESULTS LIST' Table web-element was loading: 0.024 seconds.
2020-09-22 13:44:36 INFO  Waitings:40 - TOTAL TIME that the NEXT DYNAMICALLY LOADED ROW in 'RESULTS LIST' Table web-element was loading: 0.039 seconds.
2020-09-22 13:44:37 INFO  Waitings:40 - TOTAL TIME that the NEXT DYNAMICALLY LOADED ROW in 'RESULTS LIST' Table web-element was loading: 0.03 seconds.
2020-09-22 13:44:37 INFO  Waitings:40 - TOTAL TIME that the NEXT DYNAMICALLY LOADED ROW in 'RESULTS LIST' Table web-element was loading: 0.023 seconds.
2020-09-22 13:44:37 INFO  Waitings:40 - TOTAL TIME that the NEXT DYNAMICALLY LOADED ROW in 'RESULTS LIST' Table web-element was loading: 0.02 seconds.
2020-09-22 13:44:37 INFO  Waitings:40 - TOTAL TIME that the NEXT DYNAMICALLY LOADED ROW in 'RESULTS LIST' Table web-element was loading: 0.027 seconds.
2020-09-22 13:44:37 INFO  Waitings:40 - TOTAL TIME that the NEXT DYNAMICALLY LOADED ROW in 'RESULTS LIST' Table web-element was loading: 0.042 seconds.
2020-09-22 13:44:37 INFO  Waitings:40 - TOTAL TIME that the NEXT DYNAMICALLY LOADED ROW in 'RESULTS LIST' Table web-element was loading: 0.026 seconds.
2020-09-22 13:44:40 INFO  ComparePostprocessingResults:875 - RETRIEVED UNIQUE 'MATERIALS after processing': RF02
2020-09-22 13:44:40 INFO  ComparePostprocessingResults:875 - RETRIEVED UNIQUE 'MATERIALS after processing': RF03
2020-09-22 13:44:40 INFO  ComparePostprocessingResults:875 - RETRIEVED UNIQUE 'MATERIALS after processing': RF01
2020-09-22 13:44:40 INFO  ComparePostprocessingResults:875 - RETRIEVED UNIQUE 'MATERIALS after processing': RF04
2020-09-22 13:44:42 INFO  Waitings:434 - TOTAL TIME that the Updated 'CSR ANALYSIS LOG MESSAGES' TABLE after SCROLL-UP page was loading: 0.071 seconds.
2020-09-22 13:44:45 INFO  Waitings:40 - TOTAL TIME that the NEXT DYNAMICALLY LOADED ROW in 'LOG MESSAGES' Table web-element was loading: 0.037 seconds.
2020-09-22 13:44:46 INFO  Waitings:40 - TOTAL TIME that the NEXT DYNAMICALLY LOADED ROW in 'LOG MESSAGES' Table web-element was loading: 0.09 seconds.
2020-09-22 13:44:46 INFO  Waitings:40 - TOTAL TIME that the NEXT DYNAMICALLY LOADED ROW in 'LOG MESSAGES' Table web-element was loading: 0.029 seconds.
